[2026-05-11 15:51:35,337] INFO - ✅ Outbox publisher started
[2026-05-11 15:52:00,393] INFO - Publishing 1 pending events...
[2026-05-11 15:52:00,393] INFO - [SAGA:8ec7c34e-87d4-4234-9571-9cc0b2e6fbc6] Publishing order.created (id=11)
[2026-05-11 15:52:00,517] INFO - [SAGA:8ec7c34e-87d4-4234-9571-9cc0b2e6fbc6] Successfully published and marked as sent
[2026-05-11 15:53:13,753] INFO - Publishing 1 pending events...
[2026-05-11 15:53:13,753] INFO - [SAGA:d4129c8a-3c9c-41db-8762-38becbed6ded] Publishing order.created (id=12)
[2026-05-11 15:53:13,874] INFO - [SAGA:d4129c8a-3c9c-41db-8762-38becbed6ded] Successfully published and marked as sent
[2026-05-11 15:56:28,326] INFO - Publishing 1 pending events...
[2026-05-11 15:56:28,328] INFO - [SAGA:5de197c6-8da4-49a3-bc38-35a5d1c1dae2] Publishing order.created (id=13)
[2026-05-11 15:56:28,444] INFO - [SAGA:5de197c6-8da4-49a3-bc38-35a5d1c1dae2] Successfully published and marked as sent
[2026-05-11 15:59:32,873] INFO - Publishing 1 pending events...
[2026-05-11 15:59:32,873] INFO - [SAGA:3c223df7-1f32-4cb8-b8bc-a147b33a352d] Publishing order.created (id=15)
[2026-05-11 15:59:32,985] INFO - [SAGA:3c223df7-1f32-4cb8-b8bc-a147b33a352d] Successfully published and marked as sent
[2026-05-11 16:08:02,001] INFO - Publishing 1 pending events...
[2026-05-11 16:08:02,001] INFO - [SAGA:8e7f49c4-b6d6-4f57-8853-a923fba90e12] Publishing order.created (id=16)
[2026-05-11 16:08:02,123] INFO - [SAGA:8e7f49c4-b6d6-4f57-8853-a923fba90e12] Successfully published and marked as sent
[2026-05-11 16:13:40,831] INFO - Publishing 1 pending events...
[2026-05-11 16:13:40,831] INFO - [SAGA:ae4a91c9-b448-4cd7-bc2f-4ebc3333150b] Publishing order.created (id=17)
[2026-05-11 16:13:40,949] INFO - [SAGA:ae4a91c9-b448-4cd7-bc2f-4ebc3333150b] Successfully published and marked as sent
[2026-05-11 16:29:59,846] INFO - Publishing 1 pending events...
[2026-05-11 16:29:59,846] INFO - [SAGA:98f86cab-29c4-4502-a8aa-fd9657c22e39] Publishing order.created (id=18)
[2026-05-11 16:29:59,960] INFO - [SAGA:98f86cab-29c4-4502-a8aa-fd9657c22e39] Successfully published and marked as sent
[2026-05-11 16:37:51,933] INFO - Publishing 1 pending events...
[2026-05-11 16:37:51,933] INFO - [SAGA:c8d5b082-1fe3-4ede-b566-562c83fa5cc0] Publishing order.created (id=19)
[2026-05-11 16:37:52,053] INFO - [SAGA:c8d5b082-1fe3-4ede-b566-562c83fa5cc0] Successfully published and marked as sent
[2026-05-11 16:39:03,281] INFO - Publishing 1 pending events...
[2026-05-11 16:39:03,281] INFO - [SAGA:9914ed29-90c4-4c35-b369-e83d20970fac] Publishing order.created (id=20)
[2026-05-11 16:39:03,398] INFO - [SAGA:9914ed29-90c4-4c35-b369-e83d20970fac] Successfully published and marked as sent
[2026-05-11 16:49:40,671] INFO - Publishing 1 pending events...
[2026-05-11 16:49:40,671] INFO - [SAGA:efca6602-8dd5-460f-b6cc-358d5d8b9317] Publishing order.created (id=21)
[2026-05-11 16:49:40,795] INFO - [SAGA:efca6602-8dd5-460f-b6cc-358d5d8b9317] Successfully published and marked as sent
[2026-05-11 16:55:12,500] INFO - Publishing 1 pending events...
[2026-05-11 16:55:12,500] INFO - [SAGA:729e3fdf-d17a-4181-9462-f3700aa0c8cb] Publishing order.created (id=22)
[2026-05-11 16:55:12,616] INFO - [SAGA:729e3fdf-d17a-4181-9462-f3700aa0c8cb] Successfully published and marked as sent
[2026-05-11 17:00:33,294] INFO - Publishing 1 pending events...
[2026-05-11 17:00:33,295] INFO - [SAGA:432b70ab-d162-4eab-b0ff-fc08e1f913f3] Publishing order.created (id=23)
[2026-05-11 17:00:33,413] INFO - [SAGA:432b70ab-d162-4eab-b0ff-fc08e1f913f3] Successfully published and marked as sent
[2026-05-11 17:21:16,811] INFO - Publishing 1 pending events...
[2026-05-11 17:21:16,812] INFO - [SAGA:a950e1bd-1ede-4d88-84fc-4f3052730c23] Publishing order.created (id=24)
[2026-05-11 17:21:16,935] INFO - [SAGA:a950e1bd-1ede-4d88-84fc-4f3052730c23] Successfully published and marked as sent
